FID,OBJECTID,Join_Count,TARGET_FID,SEQNUM,X,Y,CFCA_ID,SiteName,Hydroclass,EcoHydro_T,Wetland_Ty,Urban_Dens,SusceptGW,Stressed,Hydro_alt,Acres,Class,SFxZsuArea,SFxZsuAr_1,SFxZusArea,SFxZusAr_1,Lake_,Name,Row,Column_,Ranking,ZsuP_L1,ZusP_L1,ZsuR_L1,ZusR_L1,ZsuP_L3,ZusP_L3,ZsuR_L3,ZusR_L3,X_SP,Y_SP
32,33,0,33,55623.000000000000000,1488191.740999999900000,10386291.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,0.302439000000000,Class 1,0.000012995804203,0.000043318339498,0.005012097550550,0.024427725621700,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0010299,0.0136037,0.0000430,0.0165723,0.0030163,0.0734850,0.0001432,0.0807691,503891.0000000,1557670.0000000
33,34,0,34,55624.000000000000000,1489441.739000000100000,10386291.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,17.286082000000000,Class 1,0.000002938634060,0.002481935535400,0.000000000000000,1.401920602280000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000825,0.0006730,0.0000002,0.0000000,0.0030221,0.0738357,0.0001436,0.0811011,505141.0000000,1557670.0000000
34,35,0,35,55625.000000000000000,1490691.736000000000000,10386291.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,30.170770999999998,Class 1,0.000003922200340,0.004445059907650,0.000000000000000,2.559237723180000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000816,0.0006628,0.0000001,0.0000000,0.0030847,0.0777933,0.0001473,0.0848251,506392.0000000,1557670.0000000
35,36,0,36,55626.000000000000000,1491941.733999999900000,10386291.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,12.029335000000000,Class 1,0.000002044987034,0.001734870705100,0.000000000000000,0.983061210222000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000826,0.0006738,0.0000002,0.0000000,0.0030328,0.0744924,0.0001442,0.0817220,507642.0000000,1557670.0000000
36,37,0,37,55627.000000000000000,1493191.730999999900000,10386291.560000001000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,0.158149000000000,Class 1,0.000008033969388,0.000024116140993,0.003203632227570,0.014273633078200,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0011992,0.0165138,0.0000508,0.0202571,0.0031680,0.0836427,0.0001525,0.0902543,508893.0000000,1557670.0000000
37,38,0,38,56011.000000000000000,1488191.740999999900000,10385041.570000000000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,12.719563000000001,Class 1,0.000001526347506,0.001841029537000,0.000000000000000,1.045974038450000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000813,0.0006602,0.0000001,0.0000000,0.0030416,0.0750344,0.0001447,0.0822335,503891.0000000,1556420.0000000
38,39,0,39,56012.000000000000000,1489441.739000000100000,10385041.570000000000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,23.078099000000002,Class 1,0.000002769371781,0.003404711810180,0.000000000000000,1.962180063130000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000814,0.0006611,0.0000001,0.0000000,0.0030879,0.0780054,0.0001475,0.0850235,505141.0000000,1556420.0000000
39,40,0,40,56013.000000000000000,1490691.736000000000000,10385041.570000000000000,SJ-EV,Long Lake,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,14.445760999999999,Class 1,0.000002744694509,0.002062276735500,0.000000000000000,1.160249306770000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000830,0.0006789,0.0000002,0.0000000,0.0030083,0.0730087,0.0001428,0.0803176,506392.0000000,1556420.0000000
40,41,0,41,57097.000000000000000,1390691.936000000000000,10381291.570000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,6.423838000000000,Class 1,0.000326202490961,0.000860216134454,0.130052651007000,0.464336577917000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0011987,0.0165044,0.0000508,0.0202453,0.0028550,0.0646453,0.0001339,0.0722834,406358.0000000,1552670.0000000
41,42,1,42,57098.000000000000000,1391941.933999999900000,10381291.570000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,27.914612000000002,Class 1,0.001533349593650,0.003885713924740,0.621205937674000,2.148813235000000,89.000000000000000,LAKE APSHAWA NR MINNEOLA,148.000000000000000,62.000000000000000,L,0.0012877,0.0181248,0.0000549,0.0222538,0.0029474,0.0695064,0.0001392,0.0769781,407608.0000000,1552670.0000000
42,43,0,43,57099.000000000000000,1393191.931000000100000,10381291.570000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.032700000000000,Class 1,0.000003187269049,0.000004506386958,0.001493882469090,0.002476044398550,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0021672,0.0385882,0.0000975,0.0456845,0.0029234,0.0681965,0.0001378,0.0757200,408858.0000000,1552670.0000000
43,44,0,44,57485.000000000000000,1390691.936000000000000,10380041.580000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,5.240919000000000,Class 1,0.000465341210259,0.000705060817413,0.211750534712000,0.381635054785000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0019934,0.0337474,0.0000888,0.0404033,0.0028660,0.0651955,0.0001345,0.0728183,406358.0000000,1551410.0000000
44,45,1,45,57486.000000000000000,1391941.933999999900000,10380041.580000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,26.660537999999999,Class 1,0.001464463310790,0.003869777071990,0.593298037142000,2.203285052480000,89.000000000000000,LAKE APSHAWA NR MINNEOLA,149.000000000000000,62.000000000000000,L,0.0012877,0.0181248,0.0000549,0.0222538,0.0030485,0.0754680,0.0001451,0.0826422,407608.0000000,1551410.0000000
45,46,0,46,57487.000000000000000,1393191.931000000100000,10380041.580000000000000,SJ-LF,Lake Apshawa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.092867000000000,Class 1,0.000006781148082,0.000013346844975,0.002927045173110,0.007544710737300,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0016696,0.0258910,0.0000730,0.0315187,0.0030245,0.0739847,0.0001437,0.0812421,408858.0000000,1551410.0000000
46,47,0,47,61145.000000000000000,1600691.516000000100000,10368791.600000000000000,SJ-LA,Unnamed cypress,1A Depressional Mesic,1A,Plain,Moderate,Moderate,NO,NO,0.155343000000000,Class 1,0.000050282976971,0.000417008962628,0.000543469037674,0.008819480762320,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003237,0.0034985,0.0000107,0.0027558,0.0026844,0.0567742,0.0001245,0.0645226,616429.0000000,1540160.0000000
47,48,0,48,61146.000000000000000,1601941.514000000000000,10368791.600000000000000,SJ-LA,Unnamed cypress,1A Depressional Mesic,1A,Plain,Moderate,Moderate,NO,NO,0.636186000000000,Class 1,0.000123496427949,0.001695308474960,0.001237928880690,0.035591234783200,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001941,0.0019459,0.0000050,0.0004439,0.0026648,0.0559447,0.0001234,0.0636924,617680.0000000,1540160.0000000
48,49,0,49,61533.000000000000000,1600691.516000000100000,10367541.600000000000000,SJ-LA,Unnamed cypress,1A Depressional Mesic,1A,Plain,Moderate,Moderate,NO,NO,4.242330000000000,Class 1,0.000483710451942,0.011458278821400,0.004355260997040,0.243860759906000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001140,0.0010266,0.0000015,0.0000000,0.0027009,0.0574827,0.0001254,0.0652298,616429.0000000,1538910.0000000
49,50,0,50,61534.000000000000000,1601941.514000000000000,10367541.600000000000000,SJ-LA,Unnamed cypress,1A Depressional Mesic,1A,Plain,Moderate,Moderate,NO,NO,14.357514999999999,Class 1,0.001700073300940,0.038495080681400,0.015452131600500,0.813145882207000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001184,0.0010762,0.0000017,0.0000000,0.0026812,0.0566356,0.0001243,0.0643840,617680.0000000,1538910.0000000
50,51,0,51,62140.000000000000000,1389441.939000000000000,10365041.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,1.146542000000000,Class 1,0.000000057327101,0.000186553847824,0.000000000000000,0.117438751918000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000797,0.0006424,0.0000001,0.0000000,0.0033230,0.0970939,0.0001627,0.1024290,405107.0000000,1536410.0000000
51,52,0,52,62527.000000000000000,1388191.941000000100000,10363791.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,4.658077000000000,Class 1,0.000023104061184,0.000757775934135,0.002006606397290,0.476987315688000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001934,0.0019372,0.0000050,0.0004308,0.0033227,0.0970618,0.0001627,0.1024000,403857.0000000,1535160.0000000
52,53,0,53,62528.000000000000000,1389441.939000000000000,10363791.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,11.194236999999999,Class 1,0.002452993164050,0.001837645896890,0.000000000000000,1.168066010240000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0005401,0.0000034,0.0002191,0.0000000,0.0033437,0.0992531,0.0001642,0.1043450,405107.0000000,1535160.0000000
53,54,0,54,62915.000000000000000,1388191.941000000100000,10362541.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,28.923904000000000,Class 1,0.000032684011142,0.004836366111990,0.000000000000000,3.140272625690000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001048,0.0009233,0.0000011,0.0000000,0.0033861,0.1040520,0.0001672,0.1085700,403857.0000000,1533910.0000000
54,55,0,55,62916.000000000000000,1389441.939000000000000,10362541.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,23.447500000000002,Class 1,0.000082300723646,0.003926518495280,0.000000000000000,2.554084794540000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000086,0.0000001,0.0000035,0.0000000,0.0033895,0.1044610,0.0001675,0.1089280,405107.0000000,1533910.0000000
55,56,0,56,63303.000000000000000,1388191.941000000100000,10361291.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,19.600863000000000,Class 1,0.000057822544924,0.003386245148670,0.000000000000000,2.293571845430000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0001472,0.0014042,0.0000029,0.0000000,0.0034578,0.1138050,0.0001728,0.1170140,403857.0000000,1532660.0000000
56,57,0,57,63304.000000000000000,1389441.939000000000000,10361291.609999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,11.752214000000000,Class 1,0.002884228363210,0.001963324907860,0.000000000000000,1.273283141280000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0006049,0.0000038,0.0002454,0.0000000,0.0033839,0.1037940,0.0001671,0.1083440,405107.0000000,1532660.0000000
57,58,0,58,63343.000000000000000,1438191.841000000000000,10361291.609999999000000,SJ-QB,Johns Lake,1F Xeric Lakes,1F,Ridge,High,High,NO,NO,0.023099000000000,Class 1,0.000001082188155,0.000004211409680,0.000424583870636,0.003119060411800,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0011140,0.0150218,0.0000469,0.0183810,0.0035601,0.1353220,0.0001823,0.1350300,453874.0000000,1532660.0000000
58,59,0,59,63344.000000000000000,1439441.838999999900000,10361291.609999999000000,SJ-QB,Johns Lake,1F Xeric Lakes,1F,Ridge,High,High,NO,NO,0.037896000000000,Class 1,0.000001130816606,0.000006898208687,0.000404528048314,0.005092996340630,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0007425,0.0091266,0.0000298,0.0106747,0.0035576,0.1345460,0.0001820,0.1343940,455124.0000000,1532660.0000000
59,60,0,60,63691.000000000000000,1388191.941000000100000,10360041.619999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,2.975399000000000,Class 1,0.000245143115458,0.000524354549092,0.000000000000000,0.365787074064000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0002031,0.0000013,0.0000824,0.0000000,0.0034986,0.1207730,0.0001762,0.1229370,403857.0000000,1531410.0000000
60,61,0,61,63692.000000000000000,1389441.939000000000000,10360041.619999999000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,14.646732000000000,Class 1,0.008806933875050,0.002512500398910,0.000000000000000,1.685201390620000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0014819,0.0000093,0.0006013,0.0000000,0.0034426,0.1115250,0.0001715,0.1150560,405107.0000000,1531410.0000000
