CFCA/EMT ID,Site Name,Original Status Assessment,Stress Status in 2018,Physiographic Region,Wetland Type,Hydrologically Altered,Edge Reference Elevation (ft NGVD 29),Conversion Factor to NAVD 88,Edge Reference Elevation (ft NAVD 88),Longitude,Latitude,Urban Density,STATION,2006-2011_P80,2006-2012_P80,2006-2013_P80,2006-2014_P80,2006-2015_P80,2006-2016_P80,2006-2017_P80,2007-2017_P80,2008-2017_P80,2009-2017_P80,2010-2017_P80,2011-2017_P80
SJ-LD,Hopkins Prairie,Not Stressed,Not Stressed,Ridge,1F,No,27.5,-1.01,26.49,-81.693251,29.27491,Low,Hopkins Prairie SJ-LD,22.20375,22.0580514730782,20.743520099996,20.5271948051948,20.6565826208196,20.6381704545455,20.4536090909091,20.3557142857143,20.25,20.1609437229437,20.0390151929457,19.8432731724668
SJ-LE,Lake Avalon,Stressed,Stressed,Ridge,1F,No,96.68,-0.88,95.8,-81.64274,28.51018,High,Lake Avalon SJ-LE,85.011323943662,85.0974458551158,85.0805062413315,85.0185714285714,85.08,85.1723492063492,85.2222063492063,85.1714285714286,85.2015384615385,85.4598823529412,85.5757443609023,85.45
SJ-LF,Lake Apshawa,Stressed,Stressed,Ridge,1F,No,87.65,-0.89,86.76,-81.77333,28.59964,Moderate,Lake Apshawa SJ-LF,80.1947058823529,79.7136153846154,79.5771286894923,79.645,79.7342490842491,79.8216666666667,79.8289177438308,79.78,79.7188888888889,79.6968421052632,79.7334545454545,79.6367083333333
SJ-LI,Lake Sylvan,Not Stressed,Stressed,Plain,1E,No,NA,NA,42.01,-81.379811,28.803797,Low,Lake Sylvan,37.3073571428571,36.9058913043478,36.65,36.4093333333333,36.2707692307692,36.2,36.08,36.0368757460662,36.0305747126437,36.02,35.9483333333333,35.8918117647059
SJ-LJ,Lake Louisa,NA,Stressed,Ridge,2F,No,97.29,-0.87,96.42,-81.74695,28.46346,Moderate,Lake Louisa SJ-LJ,91.4824466647903,91.3550668620626,91.2046854395604,91.3071554368154,91.3757047619048,91.4568133971292,91.4908,91.4657530704589,91.4188235294118,91.36309615719,91.504967032967,91.4678415120513
SJ-LL,"City of Cocoa, Well 9T",Not Stressed,Not Stressed,Plain,2D,No,74.14,-1.14,73,-81.053314,28.394303,Low,Cocoa 9T,71.4725,71.4725,71.4091466066742,71.2576374015748,71.3782268091489,71.4455208661417,71.3286828646419,71.2533148980605,71.2696928846322,71.195595359923,71.1599658226187,71.0556478332988
SJ-N1,Red Bug Lake,NA,Stressed,Plain,1E,No,69.61,-1.06,68.55,-81.290839,28.648639,Moderate,Red Bug Lake SJ-AW,65.5279578947368,65.41,65.4955317647059,65.5627792207792,65.5359780392157,65.49,65.4429925925926,65.405,65.3601008249313,65.31,65.3568942307692,65.3688366013072
SJ-N2,Chapman Marsh,NA,Stressed,Plain,2A-M,No,66.96,-1.07,65.89,-81.193906,28.641028,Moderate,Chapman Marsh SJ-AI,63.41,63.2855283446712,63.2553217391304,63.3241907216495,63.3886338334804,63.41,63.3379032590051,63.2936437847866,63.2516666666667,63.2576730174239,63.2643461012312,63.2401016871865
SJ-QA,Church Lake,Stressed,Stressed,Ridge,1F,Yes,90.37,-0.879,89.49,-81.841699,28.644937,Moderate,Church Lake SJ-QA,81.827418872267,81.7287971014493,81.6256753812636,81.6206,81.6219960784314,81.6605022292158,81.621,81.621,81.621,81.621,81.621,81.621
SJ-QB,Johns Lake,Not Stressed,Not Stressed,Ridge,1F,No,97.42,-0.88,96.54,-81.657585,28.531825,High,Johns Lake SJ-QB,92.2546753246753,91.9921342245989,91.9475157515752,92.15,92.3072398921833,92.5676762978623,92.701425441266,92.6406550724638,92.8613065326633,93.0038305741458,92.9829490406941,92.9071138826664
SJ-QC,Trout Lake,Not Stressed,Not Stressed,Ridge,1F,No,97.6,-0.86,96.74,-81.712212,28.447999,Moderate,Trout Lake SJ-QC,89.7369727332029,89.1137852813853,88.668772378516607,88.4802815057283,88.6017047619048,88.66,88.7733896794787,88.6700454545455,88.6381818181818,88.5691494252873,88.5700439560439,88.447039777662
SW-AA,Green Swamp #7,Not Stressed,Not Stressed,Plain,1A,No,NA,NA,105.95,-81.911111,28.312611,Low,GREEN SWAMP 7 WETLAND SURF,102.598840336134,102.93,102.979411764706,103.190689655172,103.42,103.595348148148,103.573529411765,103.866444444444,104.294485714286,104.376666666667,104.47,104.391818181818
SW-JJ,Lake Garfield,Not Stressed,Not Stressed,Ridge,1F,Yes,105.53,-0.9,104.63,-81.72341,27.90086,Moderate,LAKE GARFIELD,100.444528066528,100.548,100.618415475189,100.69437398374,100.713095238095,100.71,100.615371428571,100.659658536585,100.676487804878,100.669024390244,100.908,100.8325
SW-LE,"Cypress Creek #199, W17 Sentry Wetland",Stressed,Stressed,Plain,1A,No,64.95,-0.88,64.07000000000001,-82.394478,28.286128,Moderate,CYPRESS CREEK W-17 UPLAND SURF,59.9981904761905,59.3911428571429,59.3952857142857,59.7114285714286,59.8643571428571,59.634,59.2438571428571,59.2438571428571,59.2438571428571,59.2438571428571,59.2438571428571,59.1989090909091
SW-LG,Cypress Creek #223 B  W46,Stressed,Stressed,Plain,1A,No,68.93,-0.82,68.11000000000001,-82.391208,28.290439,Moderate,Cypress Creek BIO-5 Surf,61.676,61.6367897435897,61.8304615384615,61.9348774928775,62.03008,62.1018461538462,61.954,61.9568181818182,62.1785714285714,62.3434285714286,62.6974,62.488625
SW-LH,Cypress Creek #211 W33,Stressed,Not Stressed,Plain,1A,No,70.79,-0.82,69.97000000000001,-82.39305556,28.27631667,Moderate,CYPRESS CREEK W-33 SURF,65.0220857142857,65.0961,65.1374666666667,65.286619047619,65.5,65.6033333333333,65.3721428571429,65.5,65.7444,65.8516,66.2207142857143,66.1643035714286
SW-LI,Green Swamp Marsh #304,Not Stressed,Not Stressed,Plain,1A,No,93.9,-1.02,92.88000000000001,-82.01789,28.354863,Low,GREEN SWAMP MARSH UPLAND SURF,89.5475609756098,89.5239512195122,89.6865714285714,89.8403243243243,90.068919047619,90.1625747126437,90.1559507389162,90.1973774680604,90.4359,90.3486956521739,90.5727586206897,90.4420689655172
SW-LJ,"Green Swamp #6, #303",Not Stressed,Not Stressed,Plain,1A,No,98.1,-0.85,97.25,-81.97126,28.39456,Low,GREEN SWAMP 6 UPLAND SURF,93.1528888888889,93.2493333333333,93.6009578544061,93.8204016227181,94.0477965517241,94.2727586206897,94.2614461859979,94.5182424242424,94.7621481481482,94.7811764705882,94.9742857142857,94.9683783783784
SW-LM,"Green Swamp #1, #298",Not Stressed,Not Stressed,Plain,1A,No,100.6,-0.79,99.80999999999999,-81.946755,28.36141,Low,GREEN SWAMP 1 UPLAND SURF,97.370474789916,97.2518676607642,97.345110864745,97.4545329153605,97.5771142857143,97.6705882352941,97.5797837837838,97.5886896551724,97.7164599303136,97.7177142857143,97.85,97.795
SW-MM,Lake Wales,Stressed,Not Stressed,Ridge,1F,No,111.35,-0.97,110.38,-81.57869,27.90391,Moderate,Lake Wailes,101.660193277311,101.738414814815,101.71406984127,101.68,101.736827329193,101.8,101.862200668896,101.8,101.736263354037,101.709657142857,101.68,101.911066666667
SW-N1,Green Swamp Bay,NA,Not Stressed,Plain,2A-M,No,NA,NA,100.83,-81.95369999999998,28.421799999999998,Low,GREEN SWAMP BAY UPLAND SURF,96.1723902439024,96.4623468834688,96.8371978319783,97.0930081300813,97.3577064039409,97.5820689655172,97.6455172413793,97.8416666666667,98.1564431818182,98.486025974026,98.6461845748187,98.6516794425087
SW-N2,Green Swamp #4,NA,Not Stressed,Plain,1A,No,NA,NA,102.01,-81.93109999982964,28.39189999962989,Low,GREEN SWAMP 4 UPLAND SURF,98.577025974026,98.544936026936,98.6442285714286,98.7419885057471,98.8177171717172,98.9211764705882,98.925,99.0477733990148,99.3920487804878,99.5199738562092,99.6868148148148,99.6062655172414
SW-N3,Alston Bay,NA,Not Stressed,Plain,2A-M,No,NA,NA,98.397,-82.0906,28.180400000000017,Low,ALSTON BAY UPLAND SURF,95.045,95.0684472049689,95.1863502304147,95.3296129032258,95.4278909090909,95.5596842105263,95.5052207792208,95.5903093596059,95.8554523809524,96.02,96.0920043103448,96.071043062201
SW-N4,NE Lakeland Wellfield G,NA,Not Stressed,Plain,2A-M,No,NA,NA,134.32,-81.90277960284295,28.170353959223743,Moderate,NORTHEAST LAKELAND WE-NEL-GG-W SURF,126.107,126.107,126.431285714286,126.957,127.489142857143,128.066142857143,128.459571428571,128.459571428571,128.459571428571,128.779285714286,129.314142857143,130.091666666667
SW-N5,NE Lakeland Wellfield J,NA,Not Stressed,Plain,2A-M,No,NA,NA,134.16,-81.8883,28.165200000000034,Moderate,NORTHEAST LAKELAND WE-NEL-J-W SURF,126.811,126.884142857143,127.388428571429,127.897,128.157,128.384142857143,128.570142857143,128.570142857143,128.570142857143,128.823857142857,129.801857142857,130.931285714286
SW-N6,NE Lakeland Wellfield K,NA,Not Stressed,Plain,1A,No,NA,NA,134.43,-81.8962,28.161000000000012,Moderate,NORTHEAST LAKELAND WE-NEL-K-U SURF,125.451285714286,123.877,125.595,126.844142857143,127.959,128.828714285714,128.977285714286,128.977285714286,128.977285714286,129.301,129.707571428571,129.942142857143
SW-N7,Van Fleet #2,NA,Not Stressed,Plain,1A,No,126.7,-0.86,125.84,-81.6634,28.2422,High,POLK COUNTY VF-2MW,124.131523485364,124.019256637168,123.867362637363,124.0205,124.135857142857,124.240222222222,124.283125,124.283125,124.283125,124.358939849624,124.530857142857,124.47248245614
SW-N9,"Lake Wales Ridge Wildlife and Environmental Area, Mountain Lake Cutoff Tract #1",NA,Stressed,Ridge,1B,No,NA,NA,129.33,-81.5939,27.9198,High,ROMP 58 SURF AQ MONITOR,121.65,121.603846153846,121.332,120.96,121.196,121.4,121.4,121.24,121.02,121.37,121.37,121.4
SW-QA,Big Gum Lake,Stressed,Not Stressed,Ridge,1F,Yes,95.95,-0.78,95.17,-81.492193,27.928229,Low,BIG GUM LAKE,89.2993939393939,89.4152,89.573632183908,89.702060851927,89.8832323232323,90.1241212121212,90.1546571428571,90.1182222222222,89.8732136752137,91.9397145148356,92.3934080338266,92.567168627451
SW-QC,Buck Lake,Not Stressed,Not Stressed,Ridge,1F,No,95.05,-1.42,93.63,-81.332671,27.234785,Moderate,BUCK LAKE (HIGHLANDS),88.5113523809524,88.45,88.4869128919861,88.5481526315789,88.614288248337,88.7026190476191,88.7789368191721,88.6978,88.778477124183,88.98,89.0130666666667,89.1054545454545
SW-QD,Gator Lake,Not Stressed,Stressed,Ridge,1F,No,131.8,-0.58,131.22,-81.686616,27.841225,Low,GATOR LAKE,129.180451749735,129.260434782609,129.338,129.39,129.456129032258,129.541587301587,129.553090909091,129.556313043478,129.81792120075,130.081156302521,130.167408163265,130.158857142857
SW-QE,Lake Annie,Not Stressed,Not Stressed,Ridge,1F,No,111.49,-1.2,110.28999999999999,-81.351758,27.205947,Low,LAKE ANNIE (HIGHLANDS),108.765161290323,108.7645,108.789366071429,108.810065934066,108.831428571429,108.85081456044,108.86,108.86,108.88021978022,108.911392857143,108.96,108.971021134594
SW-QF,Lake Apthorpe,Not Stressed,Not Stressed,Ridge,1F,Yes,71.28,-1.18,70.1,-81.362716,27.34429,Low,Lake Apthorpe,67.7822196078431,67.7190700778643,67.7606,67.7998431372549,67.83,67.8693551515152,67.8716593406593,67.8740113851993,67.9017802197802,67.9386666666667,67.935,67.86228
SW-QH,Lake Leonore,Not Stressed,Not Stressed,Ridge,1F,No,86.23,-1.06,85.17,-81.512255,27.793753,Low,Lake Leonore (Patrick),84.0638461538462,84.0675169082126,84.1021835748792,84.1336407982262,84.1540571428571,84.1771948051948,84.1961333333333,84.1948028311426,84.2134453781513,84.2542857142857,84.3361290322581,84.3805882352941
SW-QI,Lake Placid,Not Stressed,Not Stressed,Ridge,1F,No,94.91,-1.12,93.78999999999999,-81.364219,27.244505,Moderate,Lake Placid,88.3207053140097,88.2010144927536,88.24,88.3294285714286,88.38,88.45975,88.5500625,88.45975,88.4234074074074,88.6007596899225,88.608253968254,88.7234933333333
SW-QJ,Lake Streety,Not Stressed,Not Stressed,Ridge,1F,No,105.95,-0.89,105.06,-81.569989,27.678406,Low,LAKE STREETY,102.3472,102.419853658537,102.511304065041,102.584171428571,102.640879551821,102.68,102.597722222222,102.571503448276,102.598222222222,102.691944444444,103.021333333333,103.1575
SW-QK,Lake Van,Not Stressed,Not Stressed,Ridge,1F,No,134.32,-1.01,133.31,-81.768938,28.10715,Low,Lake Van,130.100294294294,130.237647058824,130.369642857143,130.456428571429,130.54,130.59553030303,130.635381818182,130.619891891892,130.831471861472,131.014666666667,131.222752542373,131.220104247104
SW-QL,Lake Walker,Stressed,Stressed,Ridge,1F,No,150.28,-1.11,149.17,-81.717885,27.853656,Moderate,LAKE WALKER,136.243694117647,136.772777777778,137.136666666667,137.065294117647,137.172558139535,137.247406417112,137.206941176471,137.142625139043,137.028760784314,136.868857142857,137.307285714286,137.417510204082
SW-QM,Polecat Lake,Stressed,Not Stressed,Ridge,1F,No,144.37,-0.85,143.52,-81.699882,27.843913,Low,POLECAT LAKE,138.441714285714,138.578913043478,138.806593406593,138.951034482759,139.134565217391,139.306521254355,139.359529411765,139.3038,139.344,139.929782991202,140.16780952381,140.192428571429
SW-QN,Surveyors Lake,Not Stressed,Not Stressed,Ridge,1F,No,133.36,-0.925,132.435,-81.691552,27.83397,Low,SURVEYORS LAKE,129.326298850575,129.360714285714,129.415454545455,129.468181818182,129.513658536585,129.548405797101,129.553255172414,129.55672666106,129.79212605042,129.997364285714,130.121746031746,130.138453514739
SW-QO,Parks Lake,Not Stressed,Not Stressed,Ridge,1F,No,102.81,-0.95,101.86,-81.46841,27.9157,Low,PARKS LAKE,98.89,98.9451111111111,99.0253846153846,99.07,99.1133333333333,99.141746031746,99.1412,99.1364705882353,99.1412,99.2407068965517,99.4218301158301,99.5246666666667
SW-QQ,Crooked Lake,Stressed,Not Stressed,Ridge,1F,Yes,121.29,-1.03,120.26,-81.55303,27.82797,Low,Crooked Lake nr Babson Park,114.140010582011,113.860857142857,113.75,113.864285714286,113.96,114.060706766917,114.157047619048,114.062280701754,113.96,113.868137566138,113.778624338624,113.665714285714
