Station,DBKEY,Daily Date,Data Value,Qualifer,Revision Date
Split Oak Preserve,NODBKY,7-Mar-2006,,M,
Split Oak Preserve,NODBKY,8-Mar-2006,,M,
Split Oak Preserve,NODBKY,9-Mar-2006,,M,
Split Oak Preserve,NODBKY,10-Mar-2006,,M,
Split Oak Preserve,NODBKY,11-Mar-2006,,M,
Split Oak Preserve,NODBKY,12-Mar-2006,,M,
Split Oak Preserve,NODBKY,13-Mar-2006,,M,
Split Oak Preserve,NODBKY,14-Mar-2006,,M,
Split Oak Preserve,NODBKY,15-Mar-2006,,M,
Split Oak Preserve,NODBKY,16-Mar-2006,,M,
Split Oak Preserve,NODBKY,17-Mar-2006,,M,
Split Oak Preserve,NODBKY,18-Mar-2006,,M,
Split Oak Preserve,NODBKY,19-Mar-2006,,M,
Split Oak Preserve,NODBKY,20-Mar-2006,,M,
Split Oak Preserve,NODBKY,21-Mar-2006,,M,
Split Oak Preserve,NODBKY,22-Mar-2006,,M,
Split Oak Preserve,NODBKY,23-Mar-2006,,M,
Split Oak Preserve,NODBKY,24-Mar-2006,,M,
Split Oak Preserve,NODBKY,25-Mar-2006,,M,
Split Oak Preserve,NODBKY,26-Mar-2006,,M,
Split Oak Preserve,NODBKY,27-Mar-2006,,M,
Split Oak Preserve,NODBKY,28-Mar-2006,,M,
Split Oak Preserve,NODBKY,29-Mar-2006,,M,
Split Oak Preserve,NODBKY,30-Mar-2006,,M,
Split Oak Preserve,NODBKY,31-Mar-2006,,M,
Split Oak Preserve,NODBKY,1-Apr-2006,,M,
Split Oak Preserve,NODBKY,2-Apr-2006,,M,
Split Oak Preserve,NODBKY,3-Apr-2006,,M,
Split Oak Preserve,NODBKY,4-Apr-2006,,M,
Split Oak Preserve,NODBKY,5-Apr-2006,,M,
Split Oak Preserve,NODBKY,6-Apr-2006,,M,
Split Oak Preserve,NODBKY,7-Apr-2006,,M,
Split Oak Preserve,NODBKY,8-Apr-2006,,M,
Split Oak Preserve,NODBKY,9-Apr-2006,,M,
Split Oak Preserve,NODBKY,10-Apr-2006,,M,
Split Oak Preserve,NODBKY,11-Apr-2006,,M,
Split Oak Preserve,NODBKY,12-Apr-2006,,M,
Split Oak Preserve,NODBKY,13-Apr-2006,,M,
Split Oak Preserve,NODBKY,14-Apr-2006,,M,
Split Oak Preserve,NODBKY,15-Apr-2006,,M,
Split Oak Preserve,NODBKY,16-Apr-2006,,M,
Split Oak Preserve,NODBKY,17-Apr-2006,,M,
Split Oak Preserve,NODBKY,18-Apr-2006,,M,
Split Oak Preserve,NODBKY,19-Apr-2006,,M,
Split Oak Preserve,NODBKY,20-Apr-2006,,M,
Split Oak Preserve,NODBKY,21-Apr-2006,,M,
Split Oak Preserve,NODBKY,22-Apr-2006,,M,
Split Oak Preserve,NODBKY,23-Apr-2006,,M,
Split Oak Preserve,NODBKY,24-Apr-2006,,M,
Split Oak Preserve,NODBKY,25-Apr-2006,,M,
Split Oak Preserve,NODBKY,26-Apr-2006,,M,
Split Oak Preserve,NODBKY,27-Apr-2006,,M,
Split Oak Preserve,NODBKY,28-Apr-2006,,M,
Split Oak Preserve,NODBKY,29-Apr-2006,,M,
Split Oak Preserve,NODBKY,30-Apr-2006,,M,
Split Oak Preserve,NODBKY,1-May-2006,,M,
Split Oak Preserve,NODBKY,2-May-2006,,M,
Split Oak Preserve,NODBKY,3-May-2006,,M,
Split Oak Preserve,NODBKY,4-May-2006,,M,
Split Oak Preserve,NODBKY,5-May-2006,,M,
Split Oak Preserve,NODBKY,6-May-2006,,M,
Split Oak Preserve,NODBKY,7-May-2006,,M,
Split Oak Preserve,NODBKY,8-May-2006,,M,
Split Oak Preserve,NODBKY,9-May-2006,,M,
Split Oak Preserve,NODBKY,10-May-2006,,M,
Split Oak Preserve,NODBKY,11-May-2006,,M,
Split Oak Preserve,NODBKY,12-May-2006,,M,
Split Oak Preserve,NODBKY,13-May-2006,,M,
Split Oak Preserve,NODBKY,14-May-2006,,M,
Split Oak Preserve,NODBKY,15-May-2006,,M,
Split Oak Preserve,NODBKY,16-May-2006,,M,
Split Oak Preserve,NODBKY,17-May-2006,,M,
Split Oak Preserve,NODBKY,18-May-2006,,M,
Split Oak Preserve,NODBKY,19-May-2006,,M,
Split Oak Preserve,NODBKY,20-May-2006,,M,
Split Oak Preserve,NODBKY,21-May-2006,,M,
Split Oak Preserve,NODBKY,22-May-2006,,M,
Split Oak Preserve,NODBKY,23-May-2006,,M,
Split Oak Preserve,NODBKY,24-May-2006,,M,
Split Oak Preserve,NODBKY,25-May-2006,,M,
Split Oak Preserve,NODBKY,26-May-2006,,M,
Split Oak Preserve,NODBKY,27-May-2006,,M,
Split Oak Preserve,NODBKY,28-May-2006,,M,
Split Oak Preserve,NODBKY,29-May-2006,,M,
Split Oak Preserve,NODBKY,30-May-2006,,M,
Split Oak Preserve,NODBKY,31-May-2006,,M,
Split Oak Preserve,NODBKY,1-Jun-2006,,M,
Split Oak Preserve,NODBKY,2-Jun-2006,,M,
Split Oak Preserve,NODBKY,3-Jun-2006,,M,
Split Oak Preserve,NODBKY,4-Jun-2006,,M,
Split Oak Preserve,NODBKY,5-Jun-2006,,M,
Split Oak Preserve,NODBKY,6-Jun-2006,,M,
Split Oak Preserve,NODBKY,7-Jun-2006,,M,
Split Oak Preserve,NODBKY,8-Jun-2006,,M,
Split Oak Preserve,NODBKY,9-Jun-2006,,M,
Split Oak Preserve,NODBKY,10-Jun-2006,,M,
Split Oak Preserve,NODBKY,11-Jun-2006,,M,
Split Oak Preserve,NODBKY,12-Jun-2006,,M,
Split Oak Preserve,NODBKY,13-Jun-2006,,M,
Split Oak Preserve,NODBKY,14-Jun-2006,,M,
Split Oak Preserve,NODBKY,15-Jun-2006,,M,
Split Oak Preserve,NODBKY,16-Jun-2006,,M,
Split Oak Preserve,NODBKY,17-Jun-2006,,M,
Split Oak Preserve,NODBKY,18-Jun-2006,,M,
Split Oak Preserve,NODBKY,19-Jun-2006,,M,
Split Oak Preserve,NODBKY,20-Jun-2006,,M,
Split Oak Preserve,NODBKY,21-Jun-2006,,M,
Split Oak Preserve,NODBKY,22-Jun-2006,,M,
Split Oak Preserve,NODBKY,23-Jun-2006,,M,
Split Oak Preserve,NODBKY,24-Jun-2006,,M,
Split Oak Preserve,NODBKY,25-Jun-2006,,M,
Split Oak Preserve,NODBKY,26-Jun-2006,,M,
Split Oak Preserve,NODBKY,27-Jun-2006,,M,
Split Oak Preserve,NODBKY,28-Jun-2006,,M,
Split Oak Preserve,NODBKY,29-Jun-2006,,M,
Split Oak Preserve,NODBKY,30-Jun-2006,,M,
Split Oak Preserve,NODBKY,1-Jul-2006,,M,
Split Oak Preserve,NODBKY,2-Jul-2006,,M,
Split Oak Preserve,NODBKY,3-Jul-2006,,M,
Split Oak Preserve,NODBKY,4-Jul-2006,,M,
Split Oak Preserve,NODBKY,5-Jul-2006,,M,
Split Oak Preserve,NODBKY,6-Jul-2006,,M,
Split Oak Preserve,NODBKY,7-Jul-2006,,M,
Split Oak Preserve,NODBKY,8-Jul-2006,,M,
Split Oak Preserve,NODBKY,9-Jul-2006,,M,
Split Oak Preserve,NODBKY,10-Jul-2006,,M,
Split Oak Preserve,NODBKY,11-Jul-2006,,M,
Split Oak Preserve,NODBKY,12-Jul-2006,,M,
Split Oak Preserve,NODBKY,13-Jul-2006,,M,
Split Oak Preserve,NODBKY,14-Jul-2006,,M,
Split Oak Preserve,NODBKY,15-Jul-2006,,M,
Split Oak Preserve,NODBKY,16-Jul-2006,,M,
Split Oak Preserve,NODBKY,17-Jul-2006,,M,
Split Oak Preserve,NODBKY,18-Jul-2006,,M,
Split Oak Preserve,NODBKY,19-Jul-2006,,M,
Split Oak Preserve,NODBKY,20-Jul-2006,,M,
Split Oak Preserve,NODBKY,21-Jul-2006,,M,
Split Oak Preserve,NODBKY,22-Jul-2006,,M,
Split Oak Preserve,NODBKY,23-Jul-2006,,M,
Split Oak Preserve,NODBKY,24-Jul-2006,,M,
Split Oak Preserve,NODBKY,25-Jul-2006,,M,
Split Oak Preserve,NODBKY,26-Jul-2006,,M,
Split Oak Preserve,NODBKY,27-Jul-2006,,M,
Split Oak Preserve,NODBKY,28-Jul-2006,,M,
Split Oak Preserve,NODBKY,29-Jul-2006,,M,
Split Oak Preserve,NODBKY,30-Jul-2006,,M,
Split Oak Preserve,NODBKY,31-Jul-2006,,M,
Split Oak Preserve,NODBKY,1-Aug-2006,,M,
Split Oak Preserve,NODBKY,2-Aug-2006,,M,
Split Oak Preserve,NODBKY,3-Aug-2006,,M,
Split Oak Preserve,NODBKY,4-Aug-2006,,M,
Split Oak Preserve,NODBKY,5-Aug-2006,,M,
Split Oak Preserve,NODBKY,6-Aug-2006,,M,
Split Oak Preserve,NODBKY,7-Aug-2006,,M,
Split Oak Preserve,NODBKY,8-Aug-2006,,M,
Split Oak Preserve,NODBKY,9-Aug-2006,,M,
Split Oak Preserve,NODBKY,10-Aug-2006,,M,
Split Oak Preserve,NODBKY,11-Aug-2006,,M,
Split Oak Preserve,NODBKY,12-Aug-2006,,M,
Split Oak Preserve,NODBKY,13-Aug-2006,,M,
Split Oak Preserve,NODBKY,14-Aug-2006,,M,
Split Oak Preserve,NODBKY,15-Aug-2006,,M,
Split Oak Preserve,NODBKY,16-Aug-2006,,M,
Split Oak Preserve,NODBKY,17-Aug-2006,,M,
Split Oak Preserve,NODBKY,18-Aug-2006,,M,
Split Oak Preserve,NODBKY,19-Aug-2006,,M,
Split Oak Preserve,NODBKY,20-Aug-2006,,M,
Split Oak Preserve,NODBKY,21-Aug-2006,,M,
Split Oak Preserve,NODBKY,22-Aug-2006,,M,
Split Oak Preserve,NODBKY,23-Aug-2006,,M,
Split Oak Preserve,NODBKY,24-Aug-2006,,M,
Split Oak Preserve,NODBKY,25-Aug-2006,,M,
Split Oak Preserve,NODBKY,26-Aug-2006,,M,
Split Oak Preserve,NODBKY,27-Aug-2006,,M,
Split Oak Preserve,NODBKY,28-Aug-2006,,M,
Split Oak Preserve,NODBKY,29-Aug-2006,,M,
Split Oak Preserve,NODBKY,30-Aug-2006,,M,
Split Oak Preserve,NODBKY,31-Aug-2006,,M,
Split Oak Preserve,NODBKY,1-Sep-2006,,M,
Split Oak Preserve,NODBKY,2-Sep-2006,,M,
Split Oak Preserve,NODBKY,3-Sep-2006,,M,
Split Oak Preserve,NODBKY,4-Sep-2006,,M,
Split Oak Preserve,NODBKY,5-Sep-2006,,M,
Split Oak Preserve,NODBKY,6-Sep-2006,,M,
Split Oak Preserve,NODBKY,7-Sep-2006,,M,
Split Oak Preserve,NODBKY,8-Sep-2006,,M,
Split Oak Preserve,NODBKY,9-Sep-2006,,M,
Split Oak Preserve,NODBKY,10-Sep-2006,,M,
Split Oak Preserve,NODBKY,11-Sep-2006,,M,
Split Oak Preserve,NODBKY,12-Sep-2006,,M,
Split Oak Preserve,NODBKY,13-Sep-2006,,M,
Split Oak Preserve,NODBKY,14-Sep-2006,,M,
Split Oak Preserve,NODBKY,15-Sep-2006,,M,
Split Oak Preserve,NODBKY,16-Sep-2006,,M,
Split Oak Preserve,NODBKY,17-Sep-2006,,M,
Split Oak Preserve,NODBKY,18-Sep-2006,,M,
Split Oak Preserve,NODBKY,19-Sep-2006,,M,
Split Oak Preserve,NODBKY,20-Sep-2006,,M,
Split Oak Preserve,NODBKY,21-Sep-2006,,M,
Split Oak Preserve,NODBKY,22-Sep-2006,,M,
Split Oak Preserve,NODBKY,23-Sep-2006,,M,
Split Oak Preserve,NODBKY,24-Sep-2006,,M,
Split Oak Preserve,NODBKY,25-Sep-2006,,M,
Split Oak Preserve,NODBKY,26-Sep-2006,,M,
Split Oak Preserve,NODBKY,27-Sep-2006,,M,
Split Oak Preserve,NODBKY,28-Sep-2006,,M,
Split Oak Preserve,NODBKY,29-Sep-2006,,M,
Split Oak Preserve,NODBKY,30-Sep-2006,,M,
Split Oak Preserve,NODBKY,1-Oct-2006,,M,
Split Oak Preserve,NODBKY,2-Oct-2006,,M,
Split Oak Preserve,NODBKY,3-Oct-2006,,M,
Split Oak Preserve,NODBKY,4-Oct-2006,,M,
Split Oak Preserve,NODBKY,5-Oct-2006,,M,
Split Oak Preserve,NODBKY,6-Oct-2006,,M,
Split Oak Preserve,NODBKY,7-Oct-2006,,M,
Split Oak Preserve,NODBKY,8-Oct-2006,,M,
Split Oak Preserve,NODBKY,9-Oct-2006,,M,
Split Oak Preserve,NODBKY,10-Oct-2006,,M,
Split Oak Preserve,NODBKY,11-Oct-2006,,M,
Split Oak Preserve,NODBKY,12-Oct-2006,,M,
Split Oak Preserve,NODBKY,13-Oct-2006,,M,
Split Oak Preserve,NODBKY,14-Oct-2006,,M,
Split Oak Preserve,NODBKY,15-Oct-2006,,M,
Split Oak Preserve,NODBKY,16-Oct-2006,,M,
Split Oak Preserve,NODBKY,17-Oct-2006,,M,
Split Oak Preserve,NODBKY,18-Oct-2006,,M,
Split Oak Preserve,NODBKY,19-Oct-2006,,M,
Split Oak Preserve,NODBKY,20-Oct-2006,,M,
Split Oak Preserve,NODBKY,21-Oct-2006,,M,
Split Oak Preserve,NODBKY,22-Oct-2006,,M,
Split Oak Preserve,NODBKY,23-Oct-2006,,M,
Split Oak Preserve,NODBKY,24-Oct-2006,,M,
Split Oak Preserve,NODBKY,25-Oct-2006,,M,
Split Oak Preserve,NODBKY,26-Oct-2006,,M,
Split Oak Preserve,NODBKY,27-Oct-2006,,M,
Split Oak Preserve,NODBKY,28-Oct-2006,,M,
Split Oak Preserve,NODBKY,29-Oct-2006,,M,
Split Oak Preserve,NODBKY,30-Oct-2006,,M,
Split Oak Preserve,NODBKY,31-Oct-2006,,M,
Split Oak Preserve,NODBKY,1-Nov-2006,,M,
Split Oak Preserve,NODBKY,2-Nov-2006,,M,
Split Oak Preserve,NODBKY,3-Nov-2006,,M,
Split Oak Preserve,NODBKY,4-Nov-2006,,M,
Split Oak Preserve,NODBKY,5-Nov-2006,,M,
Split Oak Preserve,NODBKY,6-Nov-2006,,M,
Split Oak Preserve,NODBKY,7-Nov-2006,,M,
Split Oak Preserve,NODBKY,8-Nov-2006,,M,
Split Oak Preserve,NODBKY,9-Nov-2006,,M,
Split Oak Preserve,NODBKY,10-Nov-2006,,M,
Split Oak Preserve,NODBKY,11-Nov-2006,,M,
Split Oak Preserve,NODBKY,12-Nov-2006,,M,
Split Oak Preserve,NODBKY,13-Nov-2006,,M,
Split Oak Preserve,NODBKY,14-Nov-2006,,M,
Split Oak Preserve,NODBKY,15-Nov-2006,,M,
Split Oak Preserve,NODBKY,16-Nov-2006,,M,
Split Oak Preserve,NODBKY,17-Nov-2006,,M,
Split Oak Preserve,NODBKY,18-Nov-2006,,M,
Split Oak Preserve,NODBKY,19-Nov-2006,,M,
Split Oak Preserve,NODBKY,20-Nov-2006,,M,
Split Oak Preserve,NODBKY,21-Nov-2006,,M,
Split Oak Preserve,NODBKY,22-Nov-2006,,M,
Split Oak Preserve,NODBKY,23-Nov-2006,,M,
Split Oak Preserve,NODBKY,24-Nov-2006,,M,
Split Oak Preserve,NODBKY,25-Nov-2006,,M,
Split Oak Preserve,NODBKY,26-Nov-2006,,M,
Split Oak Preserve,NODBKY,27-Nov-2006,,M,
Split Oak Preserve,NODBKY,28-Nov-2006,,M,
Split Oak Preserve,NODBKY,29-Nov-2006,,M,
Split Oak Preserve,NODBKY,30-Nov-2006,,M,
Split Oak Preserve,NODBKY,1-Dec-2006,,M,
Split Oak Preserve,NODBKY,2-Dec-2006,,M,
Split Oak Preserve,NODBKY,3-Dec-2006,,M,
Split Oak Preserve,NODBKY,4-Dec-2006,,M,
Split Oak Preserve,NODBKY,5-Dec-2006,,M,
Split Oak Preserve,NODBKY,6-Dec-2006,,M,
Split Oak Preserve,NODBKY,7-Dec-2006,,M,
Split Oak Preserve,NODBKY,8-Dec-2006,,M,
Split Oak Preserve,NODBKY,9-Dec-2006,,M,
Split Oak Preserve,NODBKY,10-Dec-2006,,M,
Split Oak Preserve,NODBKY,11-Dec-2006,,M,
Split Oak Preserve,NODBKY,12-Dec-2006,,M,
Split Oak Preserve,NODBKY,13-Dec-2006,,M,
Split Oak Preserve,NODBKY,14-Dec-2006,,M,
Split Oak Preserve,NODBKY,15-Dec-2006,,M,
Split Oak Preserve,NODBKY,16-Dec-2006,,M,
Split Oak Preserve,NODBKY,17-Dec-2006,,M,
Split Oak Preserve,NODBKY,18-Dec-2006,,M,
Split Oak Preserve,NODBKY,19-Dec-2006,,M,
Split Oak Preserve,NODBKY,20-Dec-2006,,M,
Split Oak Preserve,NODBKY,21-Dec-2006,,M,
Split Oak Preserve,NODBKY,22-Dec-2006,,M,
Split Oak Preserve,NODBKY,23-Dec-2006,,M,
Split Oak Preserve,NODBKY,24-Dec-2006,,M,
Split Oak Preserve,NODBKY,25-Dec-2006,,M,
Split Oak Preserve,NODBKY,26-Dec-2006,,M,
Split Oak Preserve,NODBKY,27-Dec-2006,,M,
Split Oak Preserve,NODBKY,28-Dec-2006,,M,
Split Oak Preserve,NODBKY,29-Dec-2006,,M,
Split Oak Preserve,NODBKY,30-Dec-2006,,M,
Split Oak Preserve,NODBKY,31-Dec-2006,,M,
Split Oak Preserve,NODBKY,1-Jan-2007,,M,
Split Oak Preserve,NODBKY,2-Jan-2007,,M,
Split Oak Preserve,NODBKY,3-Jan-2007,,M,
Split Oak Preserve,NODBKY,4-Jan-2007,,M,
Split Oak Preserve,NODBKY,5-Jan-2007,,M,
Split Oak Preserve,NODBKY,6-Jan-2007,,M,
Split Oak Preserve,NODBKY,7-Jan-2007,,M,
Split Oak Preserve,NODBKY,8-Jan-2007,,M,
Split Oak Preserve,NODBKY,9-Jan-2007,,M,
Split Oak Preserve,NODBKY,10-Jan-2007,,M,
Split Oak Preserve,NODBKY,11-Jan-2007,,M,
Split Oak Preserve,NODBKY,12-Jan-2007,,M,
Split Oak Preserve,NODBKY,13-Jan-2007,,M,
Split Oak Preserve,NODBKY,14-Jan-2007,,M,
Split Oak Preserve,NODBKY,15-Jan-2007,,M,
Split Oak Preserve,NODBKY,16-Jan-2007,,M,
Split Oak Preserve,NODBKY,17-Jan-2007,,M,
Split Oak Preserve,NODBKY,18-Jan-2007,,M,
Split Oak Preserve,NODBKY,19-Jan-2007,,M,
Split Oak Preserve,NODBKY,20-Jan-2007,,M,
Split Oak Preserve,NODBKY,21-Jan-2007,,M,
Split Oak Preserve,NODBKY,22-Jan-2007,,M,
Split Oak Preserve,NODBKY,23-Jan-2007,,M,
Split Oak Preserve,NODBKY,24-Jan-2007,,M,
Split Oak Preserve,NODBKY,25-Jan-2007,,M,
Split Oak Preserve,NODBKY,26-Jan-2007,,M,
Split Oak Preserve,NODBKY,27-Jan-2007,,M,
Split Oak Preserve,NODBKY,28-Jan-2007,,M,
Split Oak Preserve,NODBKY,29-Jan-2007,,M,
Split Oak Preserve,NODBKY,30-Jan-2007,,M,
Split Oak Preserve,NODBKY,31-Jan-2007,,M,
Split Oak Preserve,NODBKY,1-Feb-2007,,M,
Split Oak Preserve,NODBKY,2-Feb-2007,,M,
Split Oak Preserve,NODBKY,3-Feb-2007,,M,
Split Oak Preserve,NODBKY,4-Feb-2007,,M,
Split Oak Preserve,NODBKY,5-Feb-2007,,M,
Split Oak Preserve,NODBKY,6-Feb-2007,,M,
Split Oak Preserve,NODBKY,7-Feb-2007,,M,
Split Oak Preserve,NODBKY,8-Feb-2007,,M,
Split Oak Preserve,NODBKY,9-Feb-2007,,M,
Split Oak Preserve,NODBKY,10-Feb-2007,,M,
Split Oak Preserve,NODBKY,11-Feb-2007,,M,
Split Oak Preserve,NODBKY,12-Feb-2007,,M,
Split Oak Preserve,NODBKY,13-Feb-2007,,M,
Split Oak Preserve,NODBKY,14-Feb-2007,,M,
Split Oak Preserve,NODBKY,15-Feb-2007,,M,
Split Oak Preserve,NODBKY,16-Feb-2007,,M,
Split Oak Preserve,NODBKY,17-Feb-2007,,M,
Split Oak Preserve,NODBKY,18-Feb-2007,,M,
Split Oak Preserve,NODBKY,19-Feb-2007,,M,
Split Oak Preserve,NODBKY,20-Feb-2007,,M,
Split Oak Preserve,NODBKY,21-Feb-2007,,M,
Split Oak Preserve,NODBKY,22-Feb-2007,,M,
Split Oak Preserve,NODBKY,23-Feb-2007,,M,
Split Oak Preserve,NODBKY,24-Feb-2007,,M,
Split Oak Preserve,NODBKY,25-Feb-2007,,M,
Split Oak Preserve,NODBKY,26-Feb-2007,,M,
Split Oak Preserve,NODBKY,27-Feb-2007,,M,
Split Oak Preserve,NODBKY,28-Feb-2007,,M,
Split Oak Preserve,NODBKY,1-Mar-2007,,M,
Split Oak Preserve,NODBKY,2-Mar-2007,,M,
Split Oak Preserve,NODBKY,3-Mar-2007,,M,
Split Oak Preserve,NODBKY,4-Mar-2007,,M,
Split Oak Preserve,NODBKY,5-Mar-2007,,M,
Split Oak Preserve,NODBKY,6-Mar-2007,,M,
Split Oak Preserve,NODBKY,7-Mar-2007,,M,
Split Oak Preserve,NODBKY,8-Mar-2007,,M,
Split Oak Preserve,NODBKY,9-Mar-2007,,M,
Split Oak Preserve,NODBKY,10-Mar-2007,,M,
Split Oak Preserve,NODBKY,11-Mar-2007,,M,
Split Oak Preserve,NODBKY,12-Mar-2007,,M,
Split Oak Preserve,NODBKY,13-Mar-2007,,M,
Split Oak Preserve,NODBKY,14-Mar-2007,,M,
Split Oak Preserve,NODBKY,15-Mar-2007,,M,
Split Oak Preserve,NODBKY,16-Mar-2007,,M,
Split Oak Preserve,NODBKY,17-Mar-2007,,M,
Split Oak Preserve,NODBKY,18-Mar-2007,,M,
Split Oak Preserve,NODBKY,19-Mar-2007,,M,
Split Oak Preserve,NODBKY,20-Mar-2007,,M,
Split Oak Preserve,NODBKY,21-Mar-2007,,M,
Split Oak Preserve,NODBKY,22-Mar-2007,,M,
Split Oak Preserve,NODBKY,23-Mar-2007,,M,
Split Oak Preserve,NODBKY,24-Mar-2007,,M,
Split Oak Preserve,NODBKY,25-Mar-2007,,M,
Split Oak Preserve,NODBKY,26-Mar-2007,,M,
Split Oak Preserve,NODBKY,27-Mar-2007,,M,
Split Oak Preserve,NODBKY,28-Mar-2007,,M,
Split Oak Preserve,NODBKY,29-Mar-2007,,M,
Split Oak Preserve,NODBKY,30-Mar-2007,,M,
Split Oak Preserve,NODBKY,31-Mar-2007,,M,
Split Oak Preserve,NODBKY,1-Apr-2007,,M,
Split Oak Preserve,NODBKY,2-Apr-2007,,M,
Split Oak Preserve,NODBKY,3-Apr-2007,,M,
Split Oak Preserve,NODBKY,4-Apr-2007,,M,
Split Oak Preserve,NODBKY,5-Apr-2007,,M,
Split Oak Preserve,NODBKY,6-Apr-2007,,M,
Split Oak Preserve,NODBKY,7-Apr-2007,,M,
Split Oak Preserve,NODBKY,8-Apr-2007,,M,
Split Oak Preserve,NODBKY,9-Apr-2007,,M,
Split Oak Preserve,NODBKY,10-Apr-2007,,M,
Split Oak Preserve,NODBKY,11-Apr-2007,,M,
Split Oak Preserve,NODBKY,12-Apr-2007,,M,
Split Oak Preserve,NODBKY,13-Apr-2007,,M,
Split Oak Preserve,NODBKY,14-Apr-2007,,M,
Split Oak Preserve,NODBKY,15-Apr-2007,,M,
Split Oak Preserve,NODBKY,16-Apr-2007,,M,
Split Oak Preserve,NODBKY,17-Apr-2007,,M,
Split Oak Preserve,NODBKY,18-Apr-2007,,M,
Split Oak Preserve,NODBKY,19-Apr-2007,,M,
Split Oak Preserve,NODBKY,20-Apr-2007,,M,
Split Oak Preserve,NODBKY,21-Apr-2007,,M,
Split Oak Preserve,NODBKY,22-Apr-2007,,M,
Split Oak Preserve,NODBKY,23-Apr-2007,,M,
Split Oak Preserve,NODBKY,24-Apr-2007,,M,
Split Oak Preserve,NODBKY,25-Apr-2007,,M,
Split Oak Preserve,NODBKY,26-Apr-2007,,M,
Split Oak Preserve,NODBKY,27-Apr-2007,,M,
