"STATION","DateRange","prank","value"
"Trout Lake SJ-QC","2010-2017","P80",88.5700439560439
"Church Lake SJ-QA","2010-2017","P80",81.621
"Red Bug Lake SJ-AW","2010-2017","P80",65.3568942307692
"Chapman Marsh SJ-AI","2010-2017","P80",63.2643461012312
"Long Branch OR0649","2010-2017","P80",52.7328571428571
"Lake Sylvan","2011-2017","P80",35.8918117647059
"Unnamed Cypress SJ-LA","2011-2017","P80",68.0184615384615
"Unnamed Wetland South of 46","2011-2017","P80",58.5739795238095
"Long Lake","2011-2017","P80",57.56
"Prairie Lake","2011-2017","P80",63.65
"Cocoa 9T","2011-2017","P80",71.0556478332988
"Boggy Marsh SJ-LC","2011-2017","P80",115.669266968326
"Hopkins Prairie SJ-LD","2011-2017","P80",19.8432731724668
"Johns Lake SJ-QB","2011-2017","P80",92.9071138826664
"Lake Avalon SJ-LE","2011-2017","P80",85.45
"Lake Apshawa SJ-LF","2011-2017","P80",79.6367083333333
"Lake Louisa SJ-LJ","2011-2017","P80",91.4678415120513
"Trout Lake SJ-QC","2011-2017","P80",88.447039777662
"Church Lake SJ-QA","2011-2017","P80",81.621
"Red Bug Lake SJ-AW","2011-2017","P80",65.3688366013072
"Chapman Marsh SJ-AI","2011-2017","P80",63.2401016871865
"Long Branch OR0649","2011-2017","P80",52.7157142857143
"Lake Sylvan","2006-2017","P50",37.2048648648649
"Unnamed Cypress SJ-LA","2006-2017","P50",68.5946666666667
"Unnamed Wetland South of 46","2006-2017","P50",60.0723076923077
"Long Lake","2006-2017","P50",60.0417647058824
"Prairie Lake","2006-2017","P50",69.05
"Cocoa 9T","2006-2017","P50",72.5019047931427
"Boggy Marsh SJ-LC","2006-2017","P50",115.961176470588
"Hopkins Prairie SJ-LD","2006-2017","P50",21.8804347826087
"Johns Lake SJ-QB","2006-2017","P50",94.3644615384615
"Lake Avalon SJ-LE","2006-2017","P50",86.9
"Lake Apshawa SJ-LF","2006-2017","P50",80.69
"Lake Louisa SJ-LJ","2006-2017","P50",92.7413793103448
"Trout Lake SJ-QC","2006-2017","P50",90.128048
"Church Lake SJ-QA","2006-2017","P50",82.0936086956522
"Red Bug Lake SJ-AW","2006-2017","P50",66.155
"Chapman Marsh SJ-AI","2006-2017","P50",63.7329166666667
"Long Branch OR0649","2006-2017","P50",54.46
"Lake Sylvan","2007-2017","P50",37.096125
"Unnamed Cypress SJ-LA","2007-2017","P50",68.5894868421053
"Unnamed Wetland South of 46","2007-2017","P50",59.951886013986
"Long Lake","2007-2017","P50",59.966
"Prairie Lake","2007-2017","P50",68.5577591973244
"Cocoa 9T","2007-2017","P50",72.6107128914375
"Boggy Marsh SJ-LC","2007-2017","P50",115.988888888889
"Hopkins Prairie SJ-LD","2007-2017","P50",21.725
"Johns Lake SJ-QB","2007-2017","P50",94.2592788461538
"Lake Avalon SJ-LE","2007-2017","P50",86.73
"Lake Apshawa SJ-LF","2007-2017","P50",80.5947538337369
"Lake Louisa SJ-LJ","2007-2017","P50",92.531737012987
"Trout Lake SJ-QC","2007-2017","P50",90.076739439962
"Church Lake SJ-QA","2007-2017","P50",82.0317457795432
"Red Bug Lake SJ-AW","2007-2017","P50",66.0542857142857
"Chapman Marsh SJ-AI","2007-2017","P50",63.8055281843211
"Long Branch OR0649","2007-2017","P50",54.4911145510836
"Lake Sylvan","2008-2017","P50",37.125
"Unnamed Cypress SJ-LA","2008-2017","P50",68.5546862745098
"Unnamed Wetland South of 46","2008-2017","P50",59.9614342857143
"Long Lake","2008-2017","P50",60.15
"Prairie Lake","2008-2017","P50",68.0082971014493
"Cocoa 9T","2008-2017","P50",72.6033333879997
"Boggy Marsh SJ-LC","2008-2017","P50",116.03
"Hopkins Prairie SJ-LD","2008-2017","P50",21.58
"Johns Lake SJ-QB","2008-2017","P50",94.40835
"Lake Avalon SJ-LE","2008-2017","P50",86.7764912280702
"Lake Apshawa SJ-LF","2008-2017","P50",80.5531802219413
"Lake Louisa SJ-LJ","2008-2017","P50",92.333537015616
"Trout Lake SJ-QC","2008-2017","P50",90
"Church Lake SJ-QA","2008-2017","P50",81.981
"Red Bug Lake SJ-AW","2008-2017","P50",65.957303030303
"Chapman Marsh SJ-AI","2008-2017","P50",63.8689608636977
"Long Branch OR0649","2008-2017","P50",54.5367948717949
"Lake Sylvan","2009-2017","P50",37.0166666666667
"Unnamed Cypress SJ-LA","2009-2017","P50",68.54
"Unnamed Wetland South of 46","2009-2017","P50",59.7929947368421
"Long Lake","2009-2017","P50",60.21
"Prairie Lake","2009-2017","P50",67.7164705882353
"Cocoa 9T","2009-2017","P50",72.4925357661207
"Boggy Marsh SJ-LC","2009-2017","P50",116.076470588235
"Hopkins Prairie SJ-LD","2009-2017","P50",21.437
"Johns Lake SJ-QB","2009-2017","P50",94.5030909090909
"Lake Avalon SJ-LE","2009-2017","P50",86.9628571428571
"Lake Apshawa SJ-LF","2009-2017","P50",80.6932
"Lake Louisa SJ-LJ","2009-2017","P50",92.3746666666667
"Trout Lake SJ-QC","2009-2017","P50",90.0815604801477
"Church Lake SJ-QA","2009-2017","P50",81.9456808510638
"Red Bug Lake SJ-AW","2009-2017","P50",65.8975
"Chapman Marsh SJ-AI","2009-2017","P50",63.8776595744681
"Long Branch OR0649","2009-2017","P50",54.3811764705882
"Lake Sylvan","2010-2017","P50",36.7857142857143
"Unnamed Cypress SJ-LA","2010-2017","P50",68.55
"Unnamed Wetland South of 46","2010-2017","P50",59.5919403692308
"Long Lake","2010-2017","P50",60.08
"Prairie Lake","2010-2017","P50",67.28
"Cocoa 9T","2010-2017","P50",72.4109641302094
"Boggy Marsh SJ-LC","2010-2017","P50",116.12
"Hopkins Prairie SJ-LD","2010-2017","P50",21.2311764705882
"Johns Lake SJ-QB","2010-2017","P50",94.4521818181818
"Lake Avalon SJ-LE","2010-2017","P50",86.947
"Lake Apshawa SJ-LF","2010-2017","P50",80.8166666666667
"Lake Louisa SJ-LJ","2010-2017","P50",92.8625465838509
"Trout Lake SJ-QC","2010-2017","P50",90.115313283208
"Church Lake SJ-QA","2010-2017","P50",81.941
"Red Bug Lake SJ-AW","2010-2017","P50",65.9228571428571
"Chapman Marsh SJ-AI","2010-2017","P50",63.8794845360825
"Long Branch OR0649","2010-2017","P50",54.3429411764706
"Lake Sylvan","2011-2017","P50",36.6178571428571
"Unnamed Cypress SJ-LA","2011-2017","P50",68.5253846153846
"Unnamed Wetland South of 46","2011-2017","P50",59.3352941176471
"Long Lake","2011-2017","P50",59.785
"Prairie Lake","2011-2017","P50",66.325
"Cocoa 9T","2011-2017","P50",72.540625
"Boggy Marsh SJ-LC","2011-2017","P50",116.066666666667
"Hopkins Prairie SJ-LD","2011-2017","P50",21.04
"Johns Lake SJ-QB","2011-2017","P50",94.223353115727
"Lake Avalon SJ-LE","2011-2017","P50",86.7385714285714
"Lake Apshawa SJ-LF","2011-2017","P50",80.5428571428571
"Lake Louisa SJ-LJ","2011-2017","P50",92.9738888888889
"Trout Lake SJ-QC","2011-2017","P50",89.9629357798165
"Church Lake SJ-QA","2011-2017","P50",81.8896440677966
"Red Bug Lake SJ-AW","2011-2017","P50",66.0056
"Chapman Marsh SJ-AI","2011-2017","P50",63.8430612244898
"Long Branch OR0649","2011-2017","P50",54.1775
